title,source,price,ram_gb,memmory_gb,main_cam_mp,front_cam_mp,dual_cam,is_iphone_and_age
მობილური ტელეფონი apple iphone 14 pro max 256gb deep purple,be.ge,3899,6.0,256.0,48.0,12.0,1,1.0
მობილური ტელეფონი apple iphone 14 pro max 128gb space black,be.ge,3599,6.0,128.0,48.0,12.0,1,1.0
მობილური ტელეფონი apple iphone 13 128gb midnight,be.ge,2150,4.0,128.0,12.0,12.0,1,2.0
მობილური ტელეფონი apple iphone 14 pro max 128gb silver,be.ge,3599,6.0,128.0,48.0,12.0,1,1.0
მობილური ტელეფონი apple iphone 14 pro max 128gb deep purple,be.ge,3599,6.0,128.0,48.0,12.0,1,1.0
მობილური ტელეფონი motorola moto e40 (xt2159-9) 4gb/64gb carbon grey,be.ge,345,4.0,64.0,48.0,8.0,1,-1.0
მობილური ტელეფონი apple iphone 13 128gb midnight,be.ge,2069,4.0,128.0,12.0,12.0,1,2.0
მობილური ტელეფონი oukitel wp6 6gb/128gb black,be.ge,979,6.0,128.0,48.0,20.0,1,-1.0
მობილური ტელეფონი tecno pop 5 (bd4) 2gb/32gb ice blue,be.ge,275,2.0,32.0,8.0,5.0,0,-1.0
მობილური ტელეფონი oukitel c25 4gb/32gb black,be.ge,349,4.0,32.0,13.0,8.0,1,-1.0
მობილური ტელეფონი oukitel wp6 6gb/128gb yellow,be.ge,979,6.0,128.0,48.0,20.0,1,-1.0
მობილური ტელეფონი samsung galaxy a04e (a042fd) 3gb/32gb blue,be.ge,290,3.0,32.0,13.0,5.0,1,-1.0
მობილური ტელეფონი apple iphone 13 mini 256gb pink,be.ge,2249,4.0,256.0,12.0,12.0,1,2.0
მობილური ტელეფონი apple iphone 13 mini 128gb blue,be.ge,1899,4.0,128.0,12.0,12.0,1,2.0
მობილური ტელეფონი samsung galaxy s22 5g (sm-s901e/ds) 8gb/256gb green,be.ge,1799,8.0,256.0,50.0,10.0,1,-1.0
მობილური ტელეფონი xiaomi poco f4 5g (global version) 6gb/128gb black,be.ge,929,6.0,128.0,64.0,20.0,1,-1.0
მობილური ტელეფონი oukitel wp15 8gb/128gb nfc black,be.ge,1099,8.0,128.0,48.0,13.0,1,-1.0
მობილური ტელეფონი xiaomi redmi 10 (global version) 6gb/128gb blue,be.ge,399,6.0,128.0,50.0,8.0,1,-1.0
მობილური ტელეფონი samsung galaxy a04 (a045fd) 4gb/64gb copper,be.ge,289,4.0,64.0,50.0,5.0,1,-1.0
მობილური ტელეფონი motorola moto g60 (xt2135-2) 6gb/128gb dynamic grey,be.ge,545,6.0,128.0,108.0,32.0,1,-1.0
მობილური ტელეფონი samsung galaxy a04e (a042fd) 3gb/32gb blue,be.ge,239,3.0,32.0,13.0,5.0,1,-1.0
მობილური ტელეფონი realme 9 pro+ (rmx3393) 8gb/256gb black,be.ge,898,8.0,256.0,50.0,16.0,1,-1.0
მობილური ტელეფონი nokia c21 plus (ta-1424) 3gb/32gb dark cyan,be.ge,247,3.0,32.0,13.0,5.0,0,-1.0
მობილური ტელეფონი oneplus 9 pro (global version) 12gb/256gb green,be.ge,1559,12.0,256.0,48.0,16.0,1,-1.0
მობილური ტელეფონი apple iphone 14 128gb starlight,be.ge,2499,6.0,128.0,12.0,12.0,1,1.0
მობილური ტელეფონი apple iphone 14 128gb blue,be.ge,2499,6.0,128.0,12.0,12.0,1,1.0
მობილური ტელეფონი apple iphone 14 pro max 256gb space black,be.ge,4249,6.0,256.0,48.0,12.0,1,1.0
მობილური ტელეფონი apple iphone 14 pro max 256gb gold,be.ge,4249,6.0,256.0,48.0,12.0,1,1.0
მობილური ტელეფონი apple iphone 14 pro max 256gb deep purple,be.ge,4249,6.0,256.0,48.0,12.0,1,1.0
მობილური ტელეფონი apple iphone 13 256gb starlight,be.ge,2570,4.0,256.0,12.0,12.0,1,2.0
მობილური ტელეფონი apple iphone 14 pro max 128gb deep purple,be.ge,3899,6.0,128.0,48.0,12.0,1,1.0
მობილური ტელეფონი apple iphone 14 pro max 128gb gold,be.ge,3899,6.0,128.0,48.0,12.0,1,1.0
მობილური ტელეფონი apple iphone 14 pro 128gb deep purple,be.ge,3199,6.0,128.0,48.0,12.0,1,1.0
მობილური ტელეფონი apple iphone 14 pro max 128gb space black,be.ge,3864,6.0,128.0,48.0,12.0,1,1.0
მობილური ტელეფონი apple iphone 13 128gb midnight,be.ge,2284,4.0,128.0,12.0,12.0,1,2.0
მობილური ტელეფონი apple iphone 14 pro max 128gb silver,be.ge,3864,6.0,128.0,48.0,12.0,1,1.0
მობილური ტელეფონი apple iphone 14 pro max 128gb gold,be.ge,3864,6.0,128.0,48.0,12.0,1,1.0
მობილური ტელეფონი xiaomi redmi note 10 pro (global version) 6gb/64gb blue,be.ge,499,6.0,64.0,108.0,16.0,1,-1.0
მობილური ტელეფონი realme 10 pro+ 5g (global version) 8gb/128gb nfc blue,be.ge,999,8.0,128.0,108.0,16.0,1,-1.0
მობილური ტელეფონი apple iphone 14 pro max 128gb deep purple,be.ge,3864,6.0,128.0,48.0,12.0,1,1.0
მობილური ტელეფონი xiaomi redmi note 10 pro (global version) 6gb/64gb grey,be.ge,499,6.0,64.0,108.0,16.0,1,-1.0
მობილური ტელეფონი xiaomi redmi note 11s (global version) 6gb/128gb blue,be.ge,589,6.0,128.0,108.0,16.0,1,-1.0
მობილური ტელეფონი apple iphone 14 128gb purple,be.ge,2564,6.0,128.0,12.0,12.0,1,1.0
მობილური ტელეფონი samsung galaxy s22 5g (sm-s901e/ds) 8gb/256gb phantom black,be.ge,1799,8.0,256.0,50.0,10.0,1,-1.0
მობილური ტელეფონი apple iphone 14 128gb purple,be.ge,2549,6.0,128.0,12.0,12.0,1,1.0
მობილური ტელეფონი apple iphone 13 128gb midnight,be.ge,2199,4.0,128.0,12.0,12.0,1,2.0
მობილური ტელეფონი samsung galaxy a04e (a042fd) 3gb/32gb blue,be.ge,314,3.0,32.0,13.0,5.0,1,-1.0
მობილური ტელეფონი apple iphone 14 128gb purple,be.ge,2499,6.0,128.0,12.0,12.0,1,1.0
მობილური ტელეფონი samsung galaxy s22 ultra 5g (sm-s908e/ds) 12gb/256gb green,be.ge,2399,12.0,256.0,108.0,40.0,1,-1.0
მობილური ტელეფონი samsung galaxy s22 ultra 5g (sm-s908e/ds) 12gb/256gb white,be.ge,2399,12.0,256.0,108.0,40.0,1,-1.0
მობილური ტელეფონი samsung galaxy s22 ultra 5g (sm-s908e/ds) 12gb/256gb burgundy,be.ge,2399,12.0,256.0,108.0,40.0,1,-1.0
მობილური ტელეფონი samsung galaxy s22 5g (sm-s901e/ds) 8gb/256gb pink gold,be.ge,1799,8.0,256.0,50.0,10.0,1,-1.0
მობილური ტელეფონი samsung galaxy s22 ultra 5g (sm-s908e/ds) 12gb/256gb phantom black,be.ge,2399,12.0,256.0,108.0,40.0,1,-1.0
მობილური ტელეფონი samsung galaxy s22 5g dual sim (s901e/ds) 8gb/256gb white,be.ge,1799,8.0,128.0,50.0,10.0,1,-1.0
მობილური ტელეფონი apple iphone 14 128gb starlight,be.ge,2564,6.0,128.0,12.0,12.0,1,1.0
მობილური ტელეფონი apple iphone 14 128gb blue,be.ge,2549,6.0,128.0,12.0,12.0,1,1.0
მობილური ტელეფონი apple iphone 14 128gb starlight,be.ge,2549,6.0,128.0,12.0,12.0,1,1.0
მობილური ტელეფონი apple iphone 11 64gb white,be.ge,1500,4.0,64.0,12.0,12.0,1,4.0
მობილური ტელეფონი apple iphone 11 64gb white,be.ge,1499,4.0,64.0,12.0,12.0,1,4.0
მობილური ტელეფონი apple iphone 11 64gb white,be.ge,1499,4.0,64.0,12.0,12.0,1,4.0
მობილური ტელეფონი apple iphone 11 64gb white,be.ge,1491,4.0,64.0,12.0,12.0,1,4.0
მობილური ტელეფონი apple iphone 11 64gb white,be.ge,1499,4.0,64.0,12.0,12.0,1,4.0
მობილური ტელეფონი nothing phone (1) nfc 8gb/256gb black,be.ge,1299,8.0,256.0,50.0,16.0,1,-1.0
მობილური ტელეფონი nothing phone (1) nfc 8gb/256gb black,be.ge,1299,8.0,256.0,50.0,16.0,1,-1.0
მობილური ტელეფონი samsung galaxy s21 fe 5g (g990e/ds) 8gb/256gb olive,be.ge,1299,8.0,256.0,12.0,32.0,1,-1.0
მობილური ტელეფონი samsung galaxy s21 fe 5g (g990e/ds) 8gb/256gb lavender,be.ge,1299,8.0,256.0,12.0,32.0,1,-1.0
მობილური ტელეფონი apple iphone 14 pro max 256gb space black,be.ge,4269,6.0,256.0,48.0,12.0,1,1.0
მობილური ტელეფონი apple iphone 14 pro max 256gb deep purple,be.ge,4269,6.0,256.0,48.0,12.0,1,1.0
მობილური ტელეფონი apple iphone 14 128gb blue,be.ge,2500,6.0,128.0,12.0,12.0,1,1.0
მობილური ტელეფონი apple iphone 14 pro max 256gb gold,be.ge,4269,6.0,256.0,48.0,12.0,1,1.0
მობილური ტელეფონი apple iphone 11 128gb black,be.ge,1699,4.0,128.0,12.0,12.0,1,4.0
მობილური ტელეფონი apple iphone 11 64gb black,be.ge,1499,4.0,64.0,12.0,12.0,1,4.0
მობილური ტელეფონი apple iphone 11 64gb black,be.ge,1491,4.0,64.0,12.0,12.0,1,4.0
მობილური ტელეფონი apple iphone 11 64gb black,be.ge,1499,4.0,64.0,12.0,12.0,1,4.0
მობილური ტელეფონი apple iphone 11 64gb black,be.ge,1499,4.0,64.0,12.0,12.0,1,4.0
მობილური ტელეფონი apple iphone 11 128gb white,be.ge,1699,4.0,128.0,12.0,12.0,1,4.0
მობილური ტელეფონი apple iphone 11 128gb white,be.ge,1699,4.0,128.0,12.0,12.0,1,4.0
მობილური ტელეფონი apple iphone 11 128gb black,be.ge,1699,4.0,128.0,12.0,12.0,1,4.0
მობილური ტელეფონი google pixel 7 pro 5g 12gb/128gb hazel,be.ge,2399,12.0,128.0,50.0,10.8,0,-1.0
მობილური ტელეფონი apple iphone 14 pro 256gb silver,be.ge,3848,6.0,256.0,48.0,12.0,1,1.0
მობილური ტელეფონი google pixel 7 pro single sim 12gb ram 128gb 5g lte snow,be.ge,2399,12.0,128.0,50.0,10.8,0,-1.0
მობილური ტელეფონი google pixel 7 pro single sim 12gb ram 128gb 5g lte obsidian,be.ge,2399,12.0,128.0,50.0,10.8,0,-1.0
მობილური ტელეფონი samsung galaxy s21 fe 5g (g990b) 6gb/128gb lavender,be.ge,1581,6.0,128.0,12.0,32.0,1,-1.0
მობილური ტელეფონი google pixel 4 nfc (6gb/64gb) just black,be.ge,599,6.0,64.0,12.2,8.0,1,-1.0
მობილური ტელეფონი alcatel 3l (2020) (5029y-2aalua12) 4gb/64gb dark chrome,be.ge,392,4.0,64.0,48.0,8.0,1,-1.0
მობილური ტელეფონი nokia c30 (ta-1359) 2gb/32gb green,be.ge,268,2.0,32.0,13.0,5.0,1,-1.0
მობილური ტელეფონი apple iphone 13 128gb blue,be.ge,2284,4.0,128.0,12.0,12.0,1,2.0
მობილური ტელეფონი apple iphone 13 128gb pink,be.ge,2299,4.0,128.0,12.0,12.0,1,2.0
მობილური ტელეფონი apple iphone 13 128gb blue,be.ge,2299,4.0,128.0,12.0,12.0,1,2.0
მობილური ტელეფონი apple iphone 13 128gb starlight,be.ge,2299,4.0,128.0,12.0,12.0,1,2.0
მობილური ტელეფონი oukitel c25 4gb/32gb green,be.ge,349,4.0,32.0,13.0,8.0,1,-1.0
მობილური ტელეფონი alcatel 1se light (4087u) 2gb/32gb grey,be.ge,307,2.0,32.0,13.0,5.0,1,-1.0
მობილური ტელეფონი oukitel wp5 pro 4gb/64gb black/orange,be.ge,599,4.0,64.0,13.0,5.0,1,-1.0
მობილური ტელეფონი tecno camon 19 neo (ch6i) 6gb/128gb nfc eco black,be.ge,502,6.0,128.0,48.0,32.0,1,-1.0
მობილური ტელეფონი tecno spark 8c (kg5k) 4gb/64gb diamond gray,be.ge,335,4.0,64.0,13.0,8.0,0,-1.0
მობილური ტელეფონი xiaomi redmi 10a (global version) 2gb/32gb blue,be.ge,219,2.0,32.0,13.0,5.0,0,-1.0
მობილური ტელეფონი tecno camon 19 neo (ch6i) 6gb/128gb nfc ice mirror,be.ge,502,6.0,128.0,48.0,32.0,1,-1.0
მობილური ტელეფონი xiaomi redmi 10a (global version) 2gb/32gb grey,be.ge,219,2.0,32.0,13.0,5.0,0,-1.0
მობილური ტელეფონი xiaomi redmi 10c (global version) 4gb/128gb green,be.ge,349,4.0,128.0,50.0,5.0,1,-1.0
მობილური ტელეფონი nokia c21 ta-1352 ds 2/32 cis ua blue,be.ge,227,2.0,32.0,8.0,5.0,0,-1.0
მობილური ტელეფონი infinix hot 11s (x6812b) 6gb/128gb green wave,be.ge,390,6.0,128.0,50.0,8.0,1,-1.0
მობილური ტელეფონი infinix smart 6 (x657b) 3gb/64gb quetzal cyan,be.ge,230,3.0,64.0,8.0,5.0,1,-1.0
მობილური ტელეფონი infinix hot 11s (x6812b) 4gb/64gb polar black,be.ge,300,4.0,64.0,50.0,8.0,1,-1.0
მობილური ტელეფონი infinix smart 6 (x6511) 2gb/32gb polar black,be.ge,200,2.0,32.0,8.0,5.0,1,-1.0
მობილური ტელეფონი infinix smart 6 (x6511) 2gb/32gb heart of ocean,be.ge,200,2.0,32.0,8.0,5.0,1,-1.0
მობილური ტელეფონი nokia g21 (ta-1418) 4gb/64gb blue,be.ge,490,4.0,64.0,50.0,8.0,1,-1.0
მობილური ტელეფონი samsung galaxy s22 5g (sm-s901bzkdcau) 8gb/128gb phantom black,be.ge,1972,8.0,128.0,50.0,10.0,1,-1.0
